Ticker,Instrument,Numeric Bias,Signal,Confidence,Recommended Approach,Mode,Hold Expectation
GC,Gold,+6,STRONG_BULLISH,8,TREND_FOLLOW,SWING,2-5 days
SI,Silver,+4,BULLISH,7,TREND_FOLLOW,SWING,1-2 days
CL,Crude Oil,+3,BULLISH,7,TREND_FOLLOW,SWING,1-2 days
ES,S&P 500,+6,STRONG_BULLISH,8,TREND_FOLLOW,SWING,2-5 days
NQ,Nasdaq 100,+5,STRONG_BULLISH,8,TREND_FOLLOW,SWING,2-5 days
YM,Dow Jones,+3,BULLISH,7,TREND_FOLLOW,SWING,1-2 days
RTY,Russell 2000,+4,BULLISH,7,TREND_FOLLOW,SWING,1-2 days
6E,Euro,+4,BULLISH,7,TREND_FOLLOW,SWING,1-2 days
6A,Australian Dollar,+4,BULLISH,7,TREND_FOLLOW,SWING,1-2 days
6J,Japanese Yen,+5,STRONG_BULLISH,8,TREND_FOLLOW,SWING,2-5 days
