symbol,score,signal,confidence,recommended_approach,recommended_mode,hold_expectation
GC,3,BULLISH,6,TREND_FOLLOW,SWING,1-2 days
SI,-1,SLIGHT_BEARISH,5,RANGE_TRADE,INTRADAY,session
CL,1,SLIGHT_BULLISH,6,IB_BREAKOUT,INTRADAY,session
ES,-1,SLIGHT_BEARISH,6,IB_BREAKOUT,INTRADAY,session
NQ,1,SLIGHT_BULLISH,6,IB_BREAKOUT,INTRADAY,session
YM,0,NEUTRAL,5,RANGE_TRADE,INTRADAY,session
RTY,1,SLIGHT_BULLISH,6,IB_BREAKOUT,INTRADAY,session
6E,2,SLIGHT_BULLISH,5,IB_BREAKOUT,INTRADAY,session
6A,2,SLIGHT_BULLISH,6,IB_BREAKOUT,INTRADAY,session
6J,6,STRONG_BULLISH,7,TREND_FOLLOW,SWING,2-5 days
