Ticker,Instrument,Numeric Bias,Signal,Confidence,Recommended Approach,Mode,Hold Expectation
GC,Gold,-5,STRONG_BEARISH,8,TREND_FOLLOW,SWING,1-2 days
SI,Silver,-2,SLIGHT_BEARISH,7,RANGE_TRADE,INTRADAY,session
CL,Crude Oil,-2,SLIGHT_BEARISH,7,IB_BREAKOUT,INTRADAY,session
ES,S&P 500,-3,BEARISH,7,TREND_FOLLOW,SWING,1-2 days
NQ,Nasdaq 100,-3,BEARISH,7,TREND_FOLLOW,SWING,1-2 days
YM,Dow Jones,-1,SLIGHT_BEARISH,6,IB_BREAKOUT,INTRADAY,session
RTY,Russell 2000,-2,SLIGHT_BEARISH,7,TREND_FOLLOW,SWING,1-2 days
6E,Euro,+3,BULLISH,6,TREND_FOLLOW,SWING,1-2 days
6A,Australian Dollar,+2,SLIGHT_BULLISH,6,IB_BREAKOUT,INTRADAY,session
6J,Japanese Yen,+5,STRONG_BULLISH,7,TREND_FOLLOW,SWING,2-5 days
