Ticker,Instrument,Numeric Bias,Signal,Confidence,Approach,Mode,Hold
GC,Gold,+6,STRONG_BULLISH,8,TREND_FOLLOW,SWING,2-5 days
SI,Silver,+2,SLIGHT_BULLISH,6,IB_BREAKOUT,INTRADAY,session
CL,Crude Oil,+1,SLIGHT_BULLISH,7,IB_BREAKOUT,INTRADAY,session
ES,S&P 500,+2,SLIGHT_BULLISH,6,IB_BREAKOUT,INTRADAY,session
NQ,Nasdaq 100,+2,SLIGHT_BULLISH,6,IB_BREAKOUT,INTRADAY,session
YM,Dow Jones,0,NEUTRAL,6,RANGE_TRADE,INTRADAY,session
RTY,Russell 2000,-1,SLIGHT_BEARISH,6,RANGE_TRADE,INTRADAY,session
6E,Euro,-3,BEARISH,7,TREND_FOLLOW,SWING,1-2 days
6A,Australian Dollar,-1,SLIGHT_BEARISH,6,RANGE_TRADE,INTRADAY,session
6J,Japanese Yen,-2,SLIGHT_BEARISH,7,RANGE_TRADE,INTRADAY,session
