Ticker,Instrument,Numeric Bias,Signal,Confidence,Approach,Mode,Hold
GC,Gold,+4,BULLISH,7,TREND_FOLLOW,SWING,1-2 days
SI,Silver,+3,BULLISH,6,TREND_FOLLOW,SWING,1-2 days
CL,Crude Oil,+4,BULLISH,7,TREND_FOLLOW,SWING,1-2 days
ES,S&P 500,+2,SLIGHT_BULLISH,6,IB_BREAKOUT,INTRADAY,session
NQ,Nasdaq 100,+4,BULLISH,7,TREND_FOLLOW,SWING,1-2 days
YM,Dow Jones,+3,BULLISH,6,TREND_FOLLOW,SWING,1-2 days
RTY,Russell 2000,+1,SLIGHT_BULLISH,5,IB_BREAKOUT,INTRADAY,session
6E,Euro,+1,SLIGHT_BULLISH,6,RANGE_TRADE,INTRADAY,session
6A,Australian Dollar,+3,BULLISH,6,TREND_FOLLOW,SWING,1-2 days
6J,Japanese Yen,+7,STRONG_BULLISH,7,TREND_FOLLOW,SWING,2-5 days
