Instrument,Name,Numeric Bias Score,Signal,Confidence,Approach,Mode,Hold
GC,Gold,1,SLIGHT_BULLISH,4,IB_BREAKOUT,INTRADAY,session
SI,Silver,-1,NEUTRAL,4,IB_BREAKOUT,INTRADAY,session
CL,Crude Oil,5,STRONG_BULLISH,7,TREND_FOLLOW,SWING,2-5 days
ES,S&P 500,2,SLIGHT_BULLISH,5,IB_BREAKOUT,INTRADAY,session
NQ,Nasdaq 100,0,NEUTRAL,4,RANGE_TRADE,INTRADAY,session
YM,Dow Jones,3,BULLISH,5,TREND_FOLLOW,SWING,1-2 days
RTY,Russell 2000,4,BULLISH,6,TREND_FOLLOW,SWING,1-2 days
6E,Euro,-2,SLIGHT_BEARISH,6,IB_BREAKOUT,INTRADAY,session
6A,Australian Dollar,2,SLIGHT_BULLISH,6,IB_BREAKOUT,INTRADAY,session
6J,Japanese Yen,3,BULLISH,6,TREND_FOLLOW,SWING,1-2 days
